Population	ID	SRA individual sample accession number	Family	Sex
YRI	NA18484	SRS003560	Y001-01	female
YRI	NA18485	SRS003561	Y002-01	male
YRI	NA18486	SRS000093	Y001-03	male
YRI	NA18487	SRS000644	Y002-03	male
YRI	NA18488	SRS000645	Y001-02	female
YRI	NA18489	SRS000094	Y002-02	female
YRI	NA18497	SRS003562	Y003-01	male
YRI	NA18498	SRS000095	Y003-03	male
YRI	NA18499	SRS000096	Y003-02	female
YRI	NA18500	SRS003563	Y004-01	male
YRI	NA18501	SRS000097	Y004-03	male
YRI	NA18502	SRS000098	Y004-02	female
YRI	NA18503	SRS003564	Y005-01	male
YRI	NA18504	SRS000099	Y005-03	male
YRI	NA18505	SRS000100	Y005-02	female
YRI	NA18506	SRS003565	Y009-01	male
YRI	NA18507	SRS000101	Y009-03	male
YRI	NA18508	SRS000102	Y009-02	female
YRI	NA18509	SRS003566	Y010-01	male
YRI	NA18510	SRS000103	Y010-03	male
YRI	NA18511	SRS000104	Y010-02	female
YRI	NA18515	SRS003567	Y013-01	male
YRI	NA18516	SRS000105	Y013-03	male
YRI	NA18517	SRS000106	Y013-02	female
YRI	NA18518	SRS003568	Y014-01	female
YRI	NA18519	SRS000107	Y014-03	male
YRI	NA18520	SRS000108	Y014-02	female
YRI	NA18521	SRS003569	Y016-01	male
YRI	NA18522	SRS000109	Y016-03	male
YRI	NA18523	SRS000110	Y016-02	female
YRI	NA18852	SRS003571	Y018-02	female
YRI	NA18853	SRS000141	Y018-03	male
YRI	NA18854	SRS003572	Y018-01	male
YRI	NA18855	SRS003573	Y023-02	female
YRI	NA18856	SRS000142	Y023-03	male
YRI	NA18857	SRS003574	Y023-01	male
YRI	NA18858	SRS000143	Y012-02	female
YRI	NA18859	SRS003575	Y012-03	male
YRI	NA18860	SRS003576	Y012-01	male
YRI	NA18861	SRS000144	Y024-02	female
YRI	NA18862	SRS003577	Y024-03	male
YRI	NA18863	SRS003578	Y024-01	male
YRI	NA18864	SRS001467	Y026-02	female
YRI	NA18865	SRS001468	Y026-03	male
YRI	NA18867	SRS000704	Y007-02	female
YRI	NA18868	SRS000705	Y007-03	male
YRI	NA18869	SRS003579	Y007-01	male
YRI	NA18870	SRS000145	Y017-02	female
YRI	NA18871	SRS000146	Y017-03	male
YRI	NA18872	SRS003580	Y017-01	male
YRI	NA18873	SRS000706	Y019-02	female
YRI	NA18874	SRS000707	Y019-03	male
YRI	NA18875	SRS003581	Y019-01	female
YRI	NA18876	SRS001469	Y020-02	female
YRI	NA18877	SRS001470	Y020-03	male
YRI	NA18878	SRS001471	Y021-02	female
YRI	NA18879	SRS001472	Y021-03	male
YRI	NA18881	SRS001473	Y022-02	female
YRI	NA18906	SRS008770	Y020	female
YRI	NA18907	SRS000147	Y025-02	female
YRI	NA18908	SRS000708	Y025-03	male
YRI	NA18909	SRS000148	Y027-02	female
YRI	NA18910	SRS000709	Y027-03	male
YRI	NA18911	SRS003582	Y027-01	male
YRI	NA18912	SRS000149	Y028-02	female
YRI	NA18913	SRS003583	Y028-03	male
YRI	NA18914	SRS003584	Y028-01	male
YRI	NA18915	SRS001474	Y029-03	male
YRI	NA18916	SRS000150	Y030-02	female
YRI	NA18917	SRS000710	Y030-03	male
YRI	NA18921	SRS001475	Y032-02	female
YRI	NA18923	SRS000711	Y033-03	male
YRI	NA18924	SRS000712	Y033-02	female
YRI	NA18925	SRS003585	Y033-01	male
YRI	NA18930	SRS003586	Y030-01	female
YRI	NA18931	SRS001476	Y034-02	female
YRI	NA18932	SRS008771	Y034	female
YRI	NA18933	SRS000713	Y036-02	female
YRI	NA18934	SRS000714	Y036-03	male
YRI	NA18935	SRS003587	Y036-01	male
YRI	NA19092	SRS000776	Y040-03	male
YRI	NA19093	SRS000181	Y040-02	female
YRI	NA19094	SRS003588	Y040-01	female
YRI	NA19095	SRS000777	Y041-02	female
YRI	NA19096	SRS000778	Y041-03	male
YRI	NA19097	SRS003589	Y041-01	female
YRI	NA19098	SRS000182	Y105-03	male
YRI	NA19099	SRS000183	Y105-02	female
YRI	NA19100	SRS003590	Y105-01	female
YRI	NA19101	SRS003591	Y042-03	male
YRI	NA19102	SRS000184	Y042-02	female
YRI	NA19103	SRS003592	Y042-01	male
YRI	NA19104	SRS001515	Y080-03	male
YRI	NA19105	SRS001516	Y080-02	female
YRI	NA19107	SRS000779	Y006-03	male
YRI	NA19108	SRS000185	Y006-02	female
YRI	NA19109	SRS003593	Y006-01	female
YRI	NA19110	SRS001517	Y078-03	male
YRI	NA19113	SRS000780	Y079-03	male
YRI	NA19114	SRS000186	Y079-02	female
YRI	NA19115	SRS003594	Y079-01	female
YRI	NA19116	SRS000187	Y060-02	female
YRI	NA19117	SRS000781	Y100-03	male
YRI	NA19118	SRS000782	Y100-02	female
YRI	NA19119	SRS000188	Y060-03	male
YRI	NA19120	SRS003595	Y060-01	male
YRI	NA19121	SRS000783	Y061-03	male
YRI	NA19122	SRS000784	Y061-02	female
YRI	NA19123	SRS003596	Y061-01	male
YRI	NA19124	SRS001518	Y076-03	male
YRI	NA19125	SRS001519	Y076-02	female
YRI	NA19127	SRS003597	Y077-02	female
YRI	NA19128	SRS003598	Y077-03	male
YRI	NA19129	SRS000189	Y077-01	female
YRI	NA19130	SRS000785	Y101-03	male
YRI	NA19131	SRS000190	Y101-02	female
YRI	NA19132	SRS003599	Y101-01	female
YRI	NA19133	SRS001520	Y102-02	female
YRI	NA19135	SRS001521	Y103-02	female
YRI	NA19136	SRS008772	Y103	male
YRI	NA19137	SRS000191	Y043-02	female
YRI	NA19138	SRS000192	Y043-03	male
YRI	NA19139	SRS003600	Y043-01	male
YRI	NA19140	SRS003601	Y071-02	female
YRI	NA19141	SRS000193	Y071-03	male
YRI	NA19142	SRS003602	Y071-01	male
YRI	NA19143	SRS000194	Y074-02	female
YRI	NA19144	SRS000195	Y074-03	male
YRI	NA19145	SRS003603	Y074-01	male
YRI	NA19146	SRS000786	Y075-03	male
YRI	NA19147	SRS000196	Y075-02	female
YRI	NA19148	SRS003604	Y075-01	female
YRI	NA19149	SRS000787	Y073-02	female
YRI	NA19150	SRS000788	Y073-03	male
YRI	NA19151	SRS003605	Y073-01	female
YRI	NA19152	SRS000197	Y072-02	female
YRI	NA19153	SRS000198	Y072-03	male
YRI	NA19154	SRS003606	Y072-01	male
YRI	NA19156	SRS001522	Y055-03	male
YRI	NA19157	SRS001523	Y055-02	female
YRI	NA19159	SRS000199	Y056-02	female
YRI	NA19160	SRS000200	Y056-03	male
YRI	NA19161	SRS003607	Y056-01	male
YRI	NA19162	SRS001524	Y054-03	male
YRI	NA19163	SRS001525	Y054-02	female
YRI	NA19166	SRS001526	Y049-02	female
YRI	NA19167	SRS008773	Y049	female
YRI	NA19168	SRS001527	Y053-03	male
YRI	NA19170	SRS008774	Y053	male
YRI	NA19171	SRS000201	Y047-03	male
YRI	NA19172	SRS000202	Y047-02	female
YRI	NA19173	SRS003608	Y047-01	male
YRI	NA19174	SRS003609	Y100-01	male
YRI	NA19175	SRS000789	Y044-03	male
YRI	NA19176	SRS003610	Y044-02	female
YRI	NA19177	SRS003611	Y044-01	male
YRI	NA19178	SRS003612	Y038-03	male
YRI	NA19179	SRS000790	Y038-02	female
YRI	NA19180	SRS003613	Y038-01	female
YRI	NA19181	SRS000791	Y052-03	male
YRI	NA19182	SRS000792	Y052-02	female
YRI	NA19183	SRS003614	Y052-01	female
YRI	NA19184	SRS000793	Y039-03	male
YRI	NA19185	SRS000794	Y039-02	female
YRI	NA19186	SRS003615	Y039-01	male
YRI	NA19187	SRS001528	Y113-03	male
YRI	NA19189	SRS000795	Y111-03	male
YRI	NA19190	SRS000203	Y111-02	female
YRI	NA19191	SRS003616	Y111-01	male
YRI	NA19192	SRS003617	Y112-03	male
YRI	NA19193	SRS003618	Y112-02	female
YRI	NA19194	SRS003619	Y112-01	male
YRI	NA19195	SRS001529	Y108-03	male
YRI	NA19196	SRS001530	Y108-02	female
YRI	NA19197	SRS000796	Y035-02	female
YRI	NA19198	SRS000797	Y035-03	male
YRI	NA19199	SRS003620	Y035-01	female
YRI	NA19200	SRS000204	Y045-03	male
YRI	NA19201	SRS000205	Y045-02	female
YRI	NA19202	SRS003621	Y045-01	female
YRI	NA19203	SRS003622	Y048-03	male
YRI	NA19204	SRS000206	Y048-02	female
YRI	NA19205	SRS003623	Y048-01	male
YRI	NA19206	SRS000207	Y051-02	female
YRI	NA19207	SRS000208	Y051-03	male
YRI	NA19208	SRS003624	Y051-01	male
YRI	NA19209	SRS000209	Y050-02	female
YRI	NA19210	SRS000210	Y050-03	male
YRI	NA19211	SRS003625	Y050-01	male
YRI	NA19213	SRS000798	Y110-03	male
YRI	NA19214	SRS000799	Y110-02	female
YRI	NA19215	SRS003626	Y110-01	female
YRI	NA19216	SRS001531	Y064-02	female
YRI	NA19217	SRS001532	Y064-03	male
YRI	NA19218	SRS008775	Y059	male
YRI	NA19220	SRS001533	Y059-03	male
YRI	NA19221	SRS003627	Y058-01	female
YRI	NA19222	SRS001802	Y058-02	female
YRI	NA19223	SRS000800	Y058-03	male
YRI	NA19224	SRS003628	Y057-01	male
YRI	NA19225	SRS000211	Y057-02	female
YRI	NA19226	SRS003629	Y057-03	male
YRI	NA19228	SRS001534	Y090-02	female
YRI	NA19229	SRS001535	Y090-03	female
YRI	NA19230	SRS008776	Y064	female
YRI	NA19235	SRS000801	Y116-02	female
YRI	NA19236	SRS000802	Y116-03	male
YRI	NA19237	SRS003630	Y116-01	female
YRI	NA19238	SRS000212	Y117-02	female
YRI	NA19239	SRS000213	Y117-03	male
YRI	NA19240	SRS000214	Y117-01	female
YRI	NA19242	SRS001536	Y118-03	male
YRI	NA19244	SRS008777	Y119	female
YRI	NA19246	SRS001537	Y119-01	male
YRI	NA19247	SRS000803	Y120-02	female
YRI	NA19248	SRS000804	Y120-03	male
YRI	NA19249	SRS003631	Y120-01	male
YRI	NA19250	SRS001538	Y113-02	female
YRI	NA19252	SRS003632	Y025-01	male
YRI	NA19253	SRS001539	Y062-03	male
YRI	NA19254	SRS001540	Y062-02	female
YRI	NA19256	SRS000805	Y092-03	male
YRI	NA19257	SRS000215	Y092-02	female
YRI	NA19258	SRS003633	Y092-01	male
YRI	NA19259	SRS001541	Y109-03	male
YRI	NA19260	SRS001542	Y109-02	female
YRI	NA19262	SRS001543	Y114-03	male
YRI	NA19264	SRS008778	Y114	male
YRI	NA19266	SRS001544	Y115-02	female
