center	flow_cell	lane	ID	concentration	pipeline
yale	090226_YOAV_FC312VU	1	NA19210	3.5	2
yale	090226_YOAV_FC312VU	2	NA19209	3.5	2
yale	090226_YOAV_FC312VU	3	NA19098	3.5	2
yale	090226_YOAV_FC312VU	5	NA19201	3.5	2
yale	090226_YOAV_FC312VU	6	NA19153	3.5	2
yale	090226_YOAV_FC312VU	7	NA19144	3.5	2
yale	090225_YOAV_FC30BMC	1	NA18909	3.5	2
yale	090225_YOAV_FC30BMC	2	NA19152	3.5	2
yale	090225_YOAV_FC30BMC	3	NA18511	3.5	2
yale	090225_YOAV_FC30BMC	4	NA19108	3.5	2
yale	090225_YOAV_FC30BMC	6	NA18498_2	3.5	2
yale	090225_YOAV_FC30BMC	7	NA18499	3.5	2
yale	090225_YOAV_FC30BMC	8	NA18520	3.5	2
argonne	090312_HGAC_S100054	1	NA19238	3.5	2
argonne	090312_HGAC_S100054	2	NA19239	3.5	2
argonne	090312_HGAC_S100054	3	NA19098	3.5	2
argonne	090312_HGAC_S100054	5	NA19144	3.5	2
argonne	090312_HGAC_S100054	6	NA19201	3.5	2
argonne	090312_HGAC_S100054	7	NA19210	3.5	2
argonne	090312_HGAC_S100054	8	NA19153	3.5	2
argonne	090312_HGAC_S100055	1	NA18909	3.5	2
argonne	090312_HGAC_S100055	2	NA19147	3.5	2
argonne	090312_HGAC_S100055	3	NA19152	3.5	2
argonne	090312_HGAC_S100055	5	NA18499	3.5	2
argonne	090312_HGAC_S100055	7	NA19209	3.5	2
argonne	090312_HGAC_S100055	8	NA19143	3.5	2
yale	090311_YOAV_FC312V7	1	NA19257	3.5	2
yale	090311_YOAV_FC312V7	2	NA18861	3.5	2
yale	090311_YOAV_FC312V7	3	NA19131	3.5	2
yale	090311_YOAV_FC312V7	5	NA19192	3.5	2
yale	090311_YOAV_FC312V7	6	NA18916	3.5	2
yale	090311_YOAV_FC312V7	7	NA19222	3.5	2
yale	090311_YOAV_FC312V7	8	NA19225	3.5	2
yale	090318_YOAV_FC312N1	1	NA18913	3.5	2
yale	090318_YOAV_FC312N1	2	NA18853	3.5	2
yale	090318_YOAV_FC312N1	3	NA18862	3.5	2
yale	090318_YOAV_FC312N1	5	NA19147	3.5	2
yale	090318_YOAV_FC312N1	6	NA19143	3.5	2
yale	090318_YOAV_FC312N1	7	NA19190	3.5	2
yale	090112_YOAV_FC30MN9_PIPELINE_V2	8	NA18501	2.5	2
yale	090112_YOAV_FC30MN9_PIPELINE_V2	5	NA18856	2.5	2
yale	090112_YOAV_FC30MN9_PIPELINE_V2	1	NA18912	2.5	2
yale	090112_YOAV_FC30MN9_PIPELINE_V2	2	NA19102	2.5	2
yale	090112_YOAV_FC30MN9_PIPELINE_V2	3	NA19119 2.5	2
yale	090112_YOAV_FC30MN9_PIPELINE_V2	6	NA19171 2.5	2
yale	090112_YOAV_FC30MN9_PIPELINE_V2	7	NA19200	2.5	2
yale	090121_YOAV_FC310E0_PIPELINE_V2	8	NA18517 2.5	2
yale	090121_YOAV_FC310E0_PIPELINE_V2	6	NA19128	2.5	2
yale	090121_YOAV_FC310E0_PIPELINE_V2	7	NA19130	2.5	2
yale	090121_YOAV_FC310E0_PIPELINE_V2	5	NA19238	2.5	2
yale	090121_YOAV_FC310E0_PIPELINE_V2	3	NA19239	2.5	2
yale	090210_YOAV_FC312EL_PIPELINE_V2	3	NA18504	2.5	2
yale	090210_YOAV_FC312EL_PIPELINE_V2	5	NA18516	2.5	2
yale	090210_YOAV_FC312EL_PIPELINE_V2	6	NA18522	2.5	2
yale	090210_YOAV_FC312EL_PIPELINE_V2	7	NA19093	2.5	2
yale	090210_YOAV_FC312EL_PIPELINE_V2	8	NA19172	2.5	2
yale	090330_YOAV_FC312MY	1	NA19140	3.5	2
yale	090330_YOAV_FC312MY	2	NA18508	3.5	2
yale	090330_YOAV_FC312MY	3	NA18519	3.5	2
yale	090330_YOAV_FC312MY	5	NA19127	3.5	2
yale	090330_YOAV_FC312MY	6	NA18505	3.5	2
yale	090330_YOAV_FC312MY	7	NA19138	3.5	2
yale	090330_YOAV_FC312MY	8	NA18502	3.5	2
yale	090409_YOAV_FC30BNY	2	NA19114	3.5	2
yale	090409_YOAV_FC30BNY	4	NA18507	3.5	2
yale	090409_YOAV_FC30BNY	6	NA18504_2	3.5	2
yale	090409_YOAV_FC30BNY	7	NA19193	3.5	2
yale	090409_YOAV_FC30BNY	8	NA18516_2	3.5	2
argonne 090330_HGAC_S100065	1	NA18511	3.5	2
argonne 090330_HGAC_S100065	2	NA18520	3.5	2
argonne 090330_HGAC_S100065	3	NA18498_2	3.5	2
argonne 090330_HGAC_S100065	5	NA19131	3.5	2
argonne 090330_HGAC_S100065	6	NA19108	3.5	2
argonne 090330_HGAC_S100065	7	NA19190	3.5	2
argonne 090330_HGAC_S100065	8	NA18861	3.5	2
argonne 090414_HGAC_S100072	1	NA19257	3.5	2
argonne 090414_HGAC_S100072	2	NA19192	3.5	2
argonne 090414_HGAC_S100072	3	NA19222	3.5	2
argonne 090414_HGAC_S100072	5	NA18916	3.5	2
argonne 090414_HGAC_S100072	6	NA18862	3.5	2
argonne 090414_HGAC_S100072	7	NA18853	3.5	2
argonne 090414_HGAC_S100072	8	NA18913	3.5	2
yale	090127_YOAV_FC310D2_PIPELINE_V2	1	NA19203	2.5	2
yale	090127_YOAV_FC310D2_PIPELINE_V2	2	NA19101	2.5	2
yale	090127_YOAV_FC310D2_PIPELINE_V2	3	NA19116	2.5	2
yale	090127_YOAV_FC310D2_PIPELINE_V2	5	NA19099	2.5	2
yale	090127_YOAV_FC310D2_PIPELINE_V2	6	NA18517_2	2.5	2
yale	090127_YOAV_FC310D2_PIPELINE_V2	7	NA18498	2.5	2
yale	090127_YOAV_FC310D2_PIPELINE_V2	8	NA19160	2.5	2
argonne 090417_HGAC_S100073	1	NA19140	3.5	2
argonne 090417_HGAC_S100073	2	NA19127	3.5	2
