GeneSymbol,GeneID,GeneLength
CPA1,1357,1724
GUCY2D,3000,3623
UBC,7316,2687
C11orf95,65998,5581
ANKMY2,57037,2611
C17orf81,23587,2399
TTC36,143941,814
IQCD,115811,2367
HSPA13,6782,3984
CD72,971,2480
MGMT,4255,1265
C19orf71,100128569,670
CEACAM19,56971,2246
FUNDC2,65991,2963
MRPL11,65003,1685
LOC440040,440040,2275
SLC7A14,57709,10133
MAP6,4135,5594
VPS54,51542,7416
TMED4,222068,2439
L1TD1,54596,3854
MEIG1,644890,625
CCDC136,64753,4659
C1orf92,149499,2183
ARSJ,79642,4759
PPIAL4C,653598,783
PAK1,5058,3657
FAM157A,728262,2474
ZC3H12C,85463,10681
LCN12,286256,1799
ACP1,52,2547
CHCHD6,84303,1331
SCARNA6,677772,266
KAZALD1,81621,3489
FUNDC1,139341,1169
XPA,7507,1699
ACTL6A,86,1901
SHBG,6462,1508
NPPB,4879,697
B4GALNT1,2583,4551
EFR3A,23167,5294
SLC14A1,6563,5707
RUFY2,55680,6797
RDH13,112724,3350
EDIL3,10085,3841
RRP9,9136,1543
TUBB,203068,2734
F2RL2,2151,3409
TNNC1,7134,695
SNORA54,677833,123
OR10J3,441911,988
SLC12A2,6558,10218
NPY2R,4887,3624
RPL23AP32,56969,620
TRAFD1,10906,3445
KNG1,3827,2393
ANKRD9,122416,2106
FAIM2,23017,5820
BAX,581,1255
AMBRA1,55626,5766
PQBP1,10084,1956
LOC157381,157381,4065
RAN,5901,1415
MAGOHB,55110,2865
MUTED,63915,2563
DHX40P1,653645,1129
KRTAP20-1,337975,170
SLC17A7,57030,5038
MRPL54,116541,622
TRIML1,339976,1840
C9orf144,389715,6129
C17orf61,254863,445
DIAPH3,81624,5234
KIAA0319,9856,7172
ABHD8,79575,2089
PCDHB12,56124,3406
FAM162B,221303,1036
RNF150,57484,4731
PDPK1,5170,9696
TNFRSF8,943,3734
RPL24,6152,562
CDC45,8318,2087
SH2D3A,10045,2441
SHANK3,85358,7145
APCDD1L,164284,3283
MARVELD2,153562,3181
AKT2,208,7103
ENC1,8507,5516
EGR4,1961,2372
ING4,51147,1447
OPN3,23596,2631
ECHDC1,55862,2393
RTP3,83597,817
RGL4,266747,3515
SGSH,6448,5675
NECAB2,54550,1844
PDXP,57026,2005
ANKAR,150709,5486
SELL,6402,2516
ESCO2,157570,5531
TMEM56,148534,7158
C6orf1,221491,1205
TMEM205,374882,1295
SLIT1,6585,8317
LYPLA2P1,653639,1625
GXYLT1,283464,7486
WDR66,144406,3752
SERPINB10,5273,1282
SNORD7,692076,97
RBMY2EP,159125,534
CT45A4,441520,1007
LGALS14,56891,1082
GATC,283459,410
DCLRE1A,9937,4468
LOC285696,285696,3316
PDZRN3,23024,5030
EIF2B1,1967,2142
BET1,10282,6262
MIB1,57534,9510
AQP10,89872,2265
C21orf63,59271,3318
WEE2,494551,3061
EMG1,10436,1699
PRRG4,79056,1964
ROBLD3,28956,681
TSPAN33,340348,2255
PREX1,57580,6736
FBXL14,144699,3619
UROS,7390,2594
KCNN2,3781,3020
FITM2,128486,958
SH2B2,10603,1891
UGT1A7,54577,2467
MLNR,2862,1237
ZNF280C,55609,4637
EPN3,55040,3926
EIF4E1B,253314,1974
SORCS3,22986,6178
HOXB5,3215,1820
C11orf57,55216,5595
TMED3,23423,2095
CXorf36,79742,6596
N4BP2L1,90634,4184
KRBA1,84626,4208
OR6K2,81448,975
NANOS3,342977,945
CCDC121,79635,2826
RPL18A,6142,618
CSRP3,8048,1341
SYNJ2BP,55333,7058
KRIT1,889,5838
SEPT6,23157,6428
LST-3TM12,338821,2345
C12orf62,84987,601
PPP1R14D,54866,871
FAM134B,54463,3579
RIBC2,26150,1391
HNF1A,6927,3957
SNORD114-3,767579,73
TUBGCP3,10426,4052
FAM63A,55793,3833
WDSUB1,151525,2060
AMPD3,272,5710
RBM11,54033,1975
DHX30,22907,6328
GPR78,27201,1939
HIST1H3B,8358,472
MALAT1,378938,8705
GINS2,51659,1636
SLC26A7,115111,5930
LRBA,987,13502
LOC100127888,100127888,1422
ALDH1L1,10840,11012
PARK2,5071,4529
EEF1B2,1933,1110
DLEU1,10301,2436
OBSCN,84033,29653
PARD3B,117583,4001
FLNB,2317,9971
FUT1,2523,4257
ASB5,140458,3144
DTD1,92675,1365
CTXN2,399697,2695
FAM168B,130074,5405
LIPF,8513,2359
WDR34,89891,2249
TXNDC5,81567,3589
NEK4,6787,3792
SPACA3,124912,996
DENND4A,10260,7739
PRKCDBP,112464,1037
SLC35D2,11046,4295
ARID1B,57492,13932
TTC7A,57217,6112
BCL2L14,79370,2720
ZKSCAN1,7586,6265
CD55,1604,3246
IVNS1ABP,10625,6866
GAL3ST2,64090,1449
AASDHPPT,60496,2868
CYP2E1,1571,8625
NCRNA00116,205251,1947
C17orf50,146853,1030
ZDHHC3,51304,12685
ZSCAN2,54993,4406
NR3C1,2908,8169
PKHD1L1,93035,14016
IQCC,55721,2504
SAP30L,79685,8543
UBXN2B,137886,5067
